id,room_type,minimum_nights,census_tract,census_NBH,amenities,price
20406376,Private room,29,812,Jamaica Plain,"[""Shampoo"", ""Carbon monoxide alarm"", ""Wifi"", ""Washer"", ""Hair dryer"", ""Kitchen"", ""Smoke alarm"", ""Lock on bedroom door"", ""Hangers"", ""Private living room"", ""TV"", ""Dryer"", ""Heating"", ""Air conditioning"", ""Fire extinguisher"", ""Essentials"", ""Iron""]",45.0
20417844,Private room,1,607,South Boston,"[""Stove"", ""Keypad"", ""Kitchen"", ""Dishwasher"", ""Free street parking"", ""Lock on bedroom door"", ""First aid kit"", ""Refrigerator"", ""Fast wifi \u2013 306 Mbps"", ""Iron"", ""Coffee maker"", ""TV with standard cable"", ""Washer"", ""Hair dryer"", ""Shower gel"", ""Extra pillows and blankets"", ""Luggage dropoff allowed"", ""Free dryer \u2013 In unit"", ""Shampoo"", ""Bed linens"", ""Carbon monoxide alarm"", ""Oven"", ""Security cameras on property"", ""Smoke alarm"", ""Cooking basics"", ""Microwave"", ""Dedicated workspace"", ""Coffee"", ""Essentials"", ""Hot water"", ""Paid parking off premises"", ""Central air conditioning"", ""Dishes and silverware"", ""Hangers"", ""Private living room"", ""Self check-in"", ""Heating"", ""Fire extinguisher""]",200.0
20420751,Private room,91,5.03,Brighton,"[""Wifi"", ""Carbon monoxide alarm"", ""Washer"", ""Hair dryer"", ""Host greets you"", ""Kitchen"", ""Smoke alarm"", ""Pool"", ""Free street parking"", ""Lock on bedroom door"", ""Hangers"", ""First aid kit"", ""Private living room"", ""Dryer"", ""Fire extinguisher"", ""Essentials""]",65.0
20446955,Private room,91,1404,Hyde Park,"[""Wifi"", ""Stove"", ""Kitchen"", ""First aid kit"", ""Refrigerator"", ""Iron"", ""Coffee maker"", ""TV with standard cable"", ""Washer"", ""Extra pillows and blankets"", ""Air conditioning"", ""Bed linens"", ""Carbon monoxide alarm"", ""Backyard"", ""Smoke alarm"", ""Cooking basics"", ""Free parking on premises"", ""Smart lock"", ""Pocket wifi"", ""Ethernet connection"", ""Essentials"", ""Hot water"", ""Dishes and silverware"", ""Hangers"", ""Self check-in"", ""Dryer"", ""Long term stays allowed"", ""Heating"", ""Microwave""]",80.0
20456058,Entire home/apt,91,7.04,Allston,"[""Wifi"", ""Stove"", ""Kitchen"", ""Dishwasher"", ""First aid kit"", ""Refrigerator"", ""Coffee maker"", ""Washer"", ""Elevator"", ""Cleaning available during stay"", ""TV"", ""Air conditioning"", ""Carbon monoxide alarm"", ""Oven"", ""Host greets you"", ""Smoke alarm"", ""Cooking basics"", ""Gym"", ""Essentials"", ""Dishes and silverware"", ""Fire extinguisher"", ""Hangers"", ""Dryer"", ""Long term stays allowed"", ""Heating"", ""Microwave""]",125.0
20459710,Entire home/apt,91,809,Mission Hill,"[""Wifi"", ""Kitchen"", ""Washer"", ""Essentials""]",200.0
20479416,Private room,1,509.01,East Boston,"[""Wifi"", ""Stove"", ""Keypad"", ""Kitchen"", ""Dishwasher"", ""Free street parking"", ""Lock on bedroom door"", ""First aid kit"", ""Refrigerator"", ""Coffee maker"", ""Hair dryer"", ""Luggage dropoff allowed"", ""Air conditioning"", ""Shampoo"", ""Bed linens"", ""Carbon monoxide alarm"", ""Backyard"", ""Oven"", ""Smoke alarm"", ""Cooking basics"", ""Free parking on premises"", ""Private entrance"", ""Essentials"", ""Hot water"", ""Dishes and silverware"", ""Private living room"", ""Self check-in"", ""Heating"", ""Microwave""]",58.0
20547874,Private room,91,5.03,Brighton,"[""Wifi"", ""Carbon monoxide alarm"", ""Washer"", ""Kitchen"", ""Smoke alarm"", ""Dryer"", ""Essentials""]",65.0
20588785,Private room,91,702.02,Chinatown,"[""Wifi"", ""Stove"", ""Kitchen"", ""Lock on bedroom door"", ""First aid kit"", ""Refrigerator"", ""Pets allowed"", ""Paid parking on premises"", ""Iron"", ""Coffee maker"", ""TV with standard cable"", ""Hair dryer"", ""Elevator"", ""Luggage dropoff allowed"", ""Air conditioning"", ""Shampoo"", ""Carbon monoxide alarm"", ""Oven"", ""Smoke alarm"", ""Cooking basics"", ""Essentials"", ""Hot water"", ""Paid parking off premises"", ""Dishes and silverware"", ""Fire extinguisher"", ""Hangers"", ""Long term stays allowed"", ""Heating"", ""Microwave""]",50.0
20634420,Private room,1,1009,Mattapan,"[""Wifi"", ""Free street parking"", ""Lock on bedroom door"", ""Single level home"", ""First aid kit"", ""Outdoor dining area"", ""Refrigerator"", ""Portable air conditioning"", ""Coffee maker"", ""Iron"", ""Outdoor furniture"", ""Hair dryer"", ""BBQ grill"", ""Cleaning available during stay"", ""Extra pillows and blankets"", ""Luggage dropoff allowed"", ""Shampoo"", ""Bed linens"", ""Carbon monoxide alarm"", ""Backyard"", ""Host greets you"", ""Smoke alarm"", ""Cooking basics"", ""Free parking on premises"", ""Dedicated workspace"", ""Essentials"", ""Central air conditioning"", ""Dishes and silverware"", ""Hangers"", ""Long term stays allowed"", ""Heating"", ""Microwave""]",90.0
20649310,Private room,1,1104.03,Roslindale,"[""Free street parking"", ""Lock on bedroom door"", ""First aid kit"", ""Beach essentials"", ""Iron"", ""Room-darkening shades"", ""Outdoor furniture"", ""Shared patio or balcony"", ""Hair dryer"", ""Central heating"", ""Bikes"", ""Extra pillows and blankets"", ""Lockbox"", ""Luggage dropoff allowed"", ""Bathtub"", ""Deco Collection shampoo"", ""Laundromat nearby"", ""Bed linens"", ""Carbon monoxide alarm"", ""Deco Collection conditioner"", ""Host greets you"", ""Gilchrist and Soames, London body soap"", ""Smoke alarm"", ""HDTV with Roku"", ""Free parking on premises"", ""Private entrance"", ""Dedicated workspace"", ""Essentials"", ""Clothing storage: dresser"", ""Hot water"", ""Fast wifi \u2013 300 Mbps"", ""Central air conditioning"", ""Books and reading material"", ""Portable fans"", ""Private backyard \u2013 Fully fenced"", ""Hangers"", ""Self check-in"", ""Fire extinguisher""]",79.0
20655696,Entire home/apt,2,915,Dorchester,"[""Wifi"", ""Stove"", ""Keypad"", ""Public or shared beach access"", ""Kitchen"", ""Dishwasher"", ""Free street parking"", ""Barbecue utensils"", ""First aid kit"", ""Outdoor dining area"", ""Refrigerator"", ""Toaster"", ""Wine glasses"", ""Iron"", ""Room-darkening shades"", ""Pack \u2019n play/Travel crib"", ""High chair"", ""Outdoor furniture"", ""Hair dryer"", ""Shower gel"", ""Free washer \u2013 In building"", ""Blender"", ""BBQ grill"", ""Patio or balcony"", ""Cleaning products"", ""Body soap"", ""Extra pillows and blankets"", ""Luggage dropoff allowed"", ""TV"", ""Bathtub"", ""Laundromat nearby"", ""Hot water kettle"", ""Coffee maker: Keurig coffee machine, pour-over coffee"", ""Conditioner"", ""Shampoo"", ""Bed linens"", ""Carbon monoxide alarm"", ""Backyard"", ""Oven"", ""Security cameras on property"", ""Smoke alarm"", ""Cooking basics"", ""Dining table"", ""Smoking allowed"", ""Microwave"", ""Coffee"", ""Essentials"", ""Hot water"", ""Central air conditioning"", ""Children\u2019s books and toys"", ""Babysitter recommendations"", ""Dishes and silverware"", ""Hangers"", ""Clothing storage: closet"", ""Self check-in"", ""Dryer"", ""Long term stays allowed"", ""Heating"", ""Fire extinguisher""]",482.0
20694962,Private room,91,7.04,Allston,"[""Wifi"", ""Kitchen"", ""Free street parking"", ""Lock on bedroom door"", ""First aid kit"", ""Paid parking on premises"", ""Iron"", ""Washer"", ""Hair dryer"", ""Extra pillows and blankets"", ""TV"", ""Air conditioning"", ""Shampoo"", ""Bed linens"", ""Carbon monoxide alarm"", ""Host greets you"", ""Smoke alarm"", ""Essentials"", ""Hot water"", ""Hangers"", ""Dryer"", ""Heating"", ""Fire extinguisher""]",120.0
20704205,Private room,91,1304.06,West Roxbury,"[""Wifi"", ""Carbon monoxide alarm"", ""Kitchen"", ""Smoke alarm"", ""Free parking on premises"", ""First aid kit"", ""Heating"", ""Fire extinguisher"", ""Essentials""]",90.0
20723594,Private room,1,910.01,Dorchester,"[""Wifi"", ""Stove"", ""Kitchen"", ""Breakfast"", ""Free street parking"", ""Lock on bedroom door"", ""First aid kit"", ""Refrigerator"", ""Iron"", ""Coffee maker"", ""Washer"", ""Hair dryer"", ""Extra pillows and blankets"", ""Luggage dropoff allowed"", ""Air conditioning"", ""Shampoo"", ""Bed linens"", ""Carbon monoxide alarm"", ""Backyard"", ""Oven"", ""Host greets you"", ""Smoke alarm"", ""Cooking basics"", ""Free parking on premises"", ""Microwave"", ""Dedicated workspace"", ""Essentials"", ""Hot water"", ""Dishes and silverware"", ""Hangers"", ""Dryer"", ""Heating"", ""Fire extinguisher""]",75.0
20747657,Private room,2,1404,Hyde Park,"[""Keypad"", ""Free street parking"", ""Lock on bedroom door"", ""First aid kit"", ""Refrigerator"", ""Portable air conditioning"", ""Iron"", ""Hair dryer"", ""Extra pillows and blankets"", ""Shampoo"", ""Bed linens"", ""Carbon monoxide alarm"", ""Security cameras on property"", ""50\"" HDTV with Apple TV, Amazon Prime Video, Netflix, standard cable"", ""Smoke alarm"", ""Dedicated workspace"", ""Essentials"", ""Hot water"", ""Wifi \u2013 19 Mbps"", ""Hangers"", ""Self check-in"", ""Heating"", ""Microwave""]",80.0
20754696,Entire home/apt,3,1201.04,Jamaica Plain,"[""Wifi"", ""Free street parking"", ""Outdoor dining area"", ""Refrigerator"", ""Toaster"", ""Wine glasses"", ""Ceiling fan"", ""Iron"", ""Coffee maker"", ""Outdoor furniture"", ""Hair dryer"", ""Shower gel"", ""Body soap"", ""Freezer"", ""Lockbox"", ""Hot water kettle"", ""Shampoo"", ""Bed linens"", ""Garden view"", ""Safe"", ""Carbon monoxide alarm"", ""Backyard"", ""Smoke alarm"", ""Dining table"", ""Free parking on premises"", ""Private entrance"", ""Private patio or balcony"", ""Coffee"", ""Essentials"", ""Hot water"", ""Dishes and silverware"", ""Books and reading material"", ""Portable fans"", ""Fire extinguisher"", ""Hangers"", ""Self check-in"", ""Heating"", ""Microwave""]",130.0
20772091,Private room,91,606.04,South Boston Waterfront,"[""Shampoo"", ""TV with standard cable"", ""Carbon monoxide alarm"", ""Washer"", ""Wifi"", ""Hair dryer"", ""Kitchen"", ""Smoke alarm"", ""Gym"", ""Elevator"", ""Hangers"", ""First aid kit"", ""Dryer"", ""Heating"", ""Air conditioning"", ""Fire extinguisher"", ""Essentials"", ""Iron""]",149.0
20775116,Entire home/apt,30,102.04,Fenway,"[""Wifi"", ""Stove"", ""Kitchen"", ""Dishwasher"", ""First aid kit"", ""Refrigerator"", ""Paid parking on premises"", ""Iron"", ""Coffee maker"", ""Washer"", ""Hair dryer"", ""Lockbox"", ""TV"", ""Air conditioning"", ""Shampoo"", ""Carbon monoxide alarm"", ""Oven"", ""Smoke alarm"", ""Cooking basics"", ""Essentials"", ""Hot water"", ""Dishes and silverware"", ""Fire extinguisher"", ""Hangers"", ""Self check-in"", ""Dryer"", ""Long term stays allowed"", ""Heating"", ""Microwave""]",175.0
20785742,Entire home/apt,2,104.05,Fenway,"[""Wifi"", ""Stove"", ""Kitchen"", ""Dishwasher"", ""Refrigerator"", ""Iron"", ""Coffee maker"", ""TV with standard cable"", ""Washer"", ""Hair dryer"", ""Extra pillows and blankets"", ""Lockbox"", ""Luggage dropoff allowed"", ""Air conditioning"", ""Shampoo"", ""Bed linens"", ""Carbon monoxide alarm"", ""Oven"", ""Smoke alarm"", ""Cooking basics"", ""Private entrance"", ""Essentials"", ""Hot water"", ""Dishes and silverware"", ""Fire extinguisher"", ""Hangers"", ""Self check-in"", ""Dryer"", ""Long term stays allowed"", ""Heating"", ""Microwave""]",190.0
20788754,Private room,91,818,Roxbury,"[""Wifi"", ""Stove"", ""Kitchen"", ""Dishwasher"", ""Free street parking"", ""Lock on bedroom door"", ""Refrigerator"", ""Toaster"", ""Wine glasses"", ""Iron"", ""Coffee maker: drip coffee maker"", ""Hair dryer"", ""Free washer"", ""Shared backyard"", ""Freezer"", ""Bathtub"", ""Hot water kettle"", ""Bed linens"", ""Carbon monoxide alarm"", ""Oven"", ""Smoke alarm"", ""Cooking basics"", ""Dining table"", ""Dedicated workspace"", ""Essentials"", ""Hot water"", ""Dishes and silverware"", ""Hangers"", ""Heating"", ""Microwave""]",65.0
20812122,Private room,91,203.04,West End,"[""Wifi"", ""Hot water"", ""Paid parking off premises"", ""Kitchen"", ""Smoke alarm"", ""Heating"", ""Essentials""]",65.0
20815139,Entire home/apt,91,406,Charlestown,"[""Wifi"", ""Kitchen"", ""Crib"", ""Iron"", ""High chair"", ""Washer"", ""Hair dryer"", ""Lockbox"", ""TV"", ""Air conditioning"", ""Shampoo"", ""Carbon monoxide alarm"", ""Smoke alarm"", ""Private entrance"", ""Essentials"", ""Hot water"", ""Children\u2019s books and toys"", ""Hangers"", ""Self check-in"", ""Dryer"", ""Heating""]",300.0
20849944,Private room,91,821,Roxbury,"[""Wifi"", ""Carbon monoxide alarm"", ""Hot water"", ""Kitchen"", ""Smoke alarm"", ""Long term stays allowed"", ""Private entrance"", ""Cleaning available during stay"", ""Hangers"", ""Extra pillows and blankets"", ""Hot tub"", ""Heating"", ""Ethernet connection"", ""Essentials"", ""Iron""]",75.0
20868619,Entire home/apt,2,1.02,Brighton,"[""Wifi"", ""Stove"", ""Keypad"", ""Kitchen"", ""Dishwasher"", ""Window AC unit"", ""Free street parking"", ""Paid dryer \u2013 In building"", ""Refrigerator"", ""Pets allowed"", ""Iron"", ""Coffee maker"", ""HDTV with Netflix, Hulu, Roku, Disney+, Amazon Prime Video, HBO Max"", ""Hair dryer"", ""Cleaning products"", ""Paid washer \u2013 In building"", ""Shampoo"", ""Bed linens"", ""Carbon monoxide alarm"", ""Backyard"", ""Oven"", ""Security cameras on property"", ""Smoke alarm"", ""Cooking basics"", ""Free parking on premises"", ""Private entrance"", ""Private patio or balcony"", ""Essentials"", ""Hot water"", ""Dishes and silverware"", ""Fire extinguisher"", ""Hangers"", ""Self check-in"", ""Heating"", ""Microwave""]",224.0
20903558,Private room,3,4.02,Brighton,"[""Wifi"", ""Keypad"", ""Free street parking"", ""Lock on bedroom door"", ""Refrigerator"", ""Iron"", ""TV with standard cable"", ""Hair dryer"", ""Extra pillows and blankets"", ""Luggage dropoff allowed"", ""Air conditioning"", ""Shampoo"", ""Bed linens"", ""Carbon monoxide alarm"", ""Smoke alarm"", ""Pocket wifi"", ""Ethernet connection"", ""Essentials"", ""Hot water"", ""Dishes and silverware"", ""Hangers"", ""Self check-in"", ""Long term stays allowed"", ""Heating"", ""Microwave""]",75.0
20926438,Entire home/apt,9,9815.01,Fenway,"[""Wifi"", ""Free parking on premises \u2013 1 space"", ""Kitchen"", ""Window AC unit"", ""Refrigerator"", ""Iron"", ""Dryer \u2013 In building"", ""Hair dryer"", ""Shower gel"", ""Cleaning products"", ""Lockbox"", ""TV"", ""Washer \u2013\u00a0In building"", ""Shampoo"", ""Bed linens"", ""Carbon monoxide alarm"", ""Smoke alarm"", ""Essentials"", ""Hot water"", ""Dishes and silverware"", ""Hangers"", ""Self check-in"", ""Long term stays allowed"", ""Heating""]",70.0
20978478,Private room,2,1104.03,Roslindale,"[""Stove"", ""Keypad"", ""Kitchen"", ""Window AC unit"", ""Free street parking"", ""Lock on bedroom door"", ""First aid kit"", ""Refrigerator"", ""Fast wifi \u2013 67 Mbps"", ""Iron"", ""Coffee maker"", ""Hair dryer"", ""Shower gel"", ""HDTV with Apple TV, standard cable, HBO Max, Netflix, Disney+, Amazon Prime Video, Hulu"", ""Conditioner"", ""Shampoo"", ""Carbon monoxide alarm"", ""Oven"", ""Smoke alarm"", ""Cooking basics"", ""Dedicated workspace"", ""Essentials"", ""Hot water"", ""Dishes and silverware"", ""Hangers"", ""Self check-in"", ""Long term stays allowed"", ""Heating"", ""Microwave""]",110.0
20999140,Entire home/apt,91,105,Back Bay,"[""Shampoo"", ""Carbon monoxide alarm"", ""Wifi"", ""Washer"", ""Hot water"", ""Host greets you"", ""Kitchen"", ""Smoke alarm"", ""Hangers"", ""TV"", ""Dryer"", ""Heating"", ""Air conditioning"", ""Essentials"", ""Iron""]",165.0
21025191,Private room,2,1404,Hyde Park,"[""Wifi"", ""Free street parking"", ""Lock on bedroom door"", ""Refrigerator"", ""Portable air conditioning"", ""Iron"", ""Hair dryer"", ""Extra pillows and blankets"", ""Shampoo"", ""Carbon monoxide alarm"", ""HDTV with standard cable"", ""Security cameras on property"", ""Smoke alarm"", ""Private entrance"", ""Dedicated workspace"", ""Essentials"", ""Hot water"", ""Fire extinguisher"", ""Hangers"", ""Long term stays allowed"", ""Heating"", ""Microwave""]",80.0
21096288,Entire home/apt,31,910.01,Dorchester,"[""Wifi"", ""Kitchen"", ""Free street parking"", ""Pets allowed"", ""Coffee maker"", ""Pack \u2019n play/Travel crib"", ""Iron"", ""Washer"", ""Hair dryer"", ""Extra pillows and blankets"", ""Lockbox"", ""Luggage dropoff allowed"", ""HDTV with Amazon Prime Video, Roku, Netflix, HBO Max"", ""Shampoo"", ""Bed linens"", ""Carbon monoxide alarm"", ""Oven"", ""Smoke alarm"", ""Free parking on premises"", ""Private patio or balcony"", ""Essentials"", ""Hot water"", ""Children\u2019s books and toys"", ""Hangers"", ""Self check-in"", ""Dryer"", ""Long term stays allowed"", ""Heating""]",215.0
21140575,Private room,30,919,Dorchester,"[""Wifi"", ""Stove"", ""Kitchen"", ""Free street parking"", ""Lock on bedroom door"", ""Refrigerator"", ""Iron"", ""Coffee maker"", ""Hair dryer"", ""Patio or balcony"", ""Extra pillows and blankets"", ""Air conditioning"", ""Bed linens"", ""Carbon monoxide alarm"", ""Oven"", ""Security cameras on property"", ""Smoke alarm"", ""Cooking basics"", ""Essentials"", ""Hot water"", ""Dishes and silverware"", ""Hangers"", ""Long term stays allowed"", ""Heating"", ""Microwave""]",50.0
21141934,Private room,30,1005,Dorchester,"[""Wifi"", ""Stove"", ""Kitchen"", ""Free street parking"", ""Lock on bedroom door"", ""Refrigerator"", ""Iron"", ""Coffee maker"", ""Washer"", ""Hair dryer"", ""Air conditioning"", ""Carbon monoxide alarm"", ""Backyard"", ""Oven"", ""Security cameras on property"", ""Smoke alarm"", ""Cooking basics"", ""Dedicated workspace"", ""Essentials"", ""Hot water"", ""Dishes and silverware"", ""Hangers"", ""Dryer"", ""Long term stays allowed"", ""Heating"", ""Microwave""]",45.0
21182192,Entire home/apt,2,703.02,South End,"[""Wifi"", ""Stove"", ""Keypad"", ""Kitchen"", ""Dishwasher"", ""Window AC unit"", ""First aid kit"", ""Refrigerator"", ""Paid parking on premises"", ""Iron"", ""Coffee maker"", ""TV with standard cable"", ""Outdoor furniture"", ""Shared patio or balcony"", ""Hair dryer"", ""Shower gel"", ""Free washer \u2013 In unit"", ""Extra pillows and blankets"", ""Luggage dropoff allowed"", ""Free dryer \u2013 In unit"", ""Shampoo"", ""Bed linens"", ""Carbon monoxide alarm"", ""Oven"", ""Smoke alarm"", ""Cooking basics"", ""Baking sheet"", ""Microwave"", ""Essentials"", ""Hot water"", ""Dishes and silverware"", ""Indoor fireplace"", ""Hangers"", ""Self check-in"", ""Long term stays allowed"", ""Heating"", ""Fire extinguisher""]",225.0
21185484,Private room,91,1103.01,Jamaica Plain,"[""Wifi"", ""Stove"", ""Kitchen"", ""Lock on bedroom door"", ""First aid kit"", ""Refrigerator"", ""Coffee maker"", ""TV with standard cable"", ""Washer"", ""Hair dryer"", ""Patio or balcony"", ""Extra pillows and blankets"", ""Lockbox"", ""Shampoo"", ""Bed linens"", ""Carbon monoxide alarm"", ""Backyard"", ""Oven"", ""Security cameras on property"", ""Smoke alarm"", ""Cooking basics"", ""Gym"", ""Essentials"", ""Hot water"", ""Dishes and silverware"", ""Hangers"", ""Private living room"", ""Self check-in"", ""Dryer"", ""Long term stays allowed"", ""Heating"", ""Microwave""]",55.0
21190750,Entire home/apt,2,601.01,South Boston,"[""Wifi"", ""Public or shared beach access \u2013 Beachfront"", ""Window AC unit"", ""Free street parking"", ""First aid kit"", ""Beach essentials"", ""Wine glasses"", ""Iron"", ""Room-darkening shades"", ""Hair dryer"", ""Shower gel"", ""Cleaning products"", ""Body soap"", ""Freezer"", ""Extra pillows and blankets"", ""32\"" HDTV with Netflix, Roku, standard cable"", ""Luggage dropoff allowed"", ""Laundromat nearby"", ""Hot water kettle"", ""Conditioner"", ""Shampoo"", ""Bed linens"", ""Carbon monoxide alarm"", ""Security cameras on property"", ""Smoke alarm"", ""Dining table"", ""Private entrance"", ""Microwave"", ""Dedicated workspace"", ""Smart lock"", ""Coffee"", ""Essentials"", ""Hot water"", ""Paid parking off premises"", ""Shared refrigerator"", ""Dishes and silverware"", ""Coffee maker: Keurig coffee machine"", ""Portable fans"", ""Hangers"", ""Self check-in"", ""Clothing storage"", ""Heating"", ""Fire extinguisher""]",130.0
21230903,Entire home/apt,91,102.05,Fenway,"[""Wifi"", ""Stove"", ""Kitchen"", ""Dishwasher"", ""Crib"", ""Single level home"", ""First aid kit"", ""Refrigerator"", ""Children\u2019s dinnerware"", ""Iron"", ""Room-darkening shades"", ""TV with standard cable"", ""Pack \u2019n play/Travel crib"", ""Washer"", ""Coffee maker"", ""Hair dryer"", ""Elevator"", ""Extra pillows and blankets"", ""Luggage dropoff allowed"", ""Bathtub"", ""Air conditioning"", ""Shampoo"", ""Bed linens"", ""Carbon monoxide alarm"", ""Oven"", ""Smoke alarm"", ""Cooking basics"", ""Microwave"", ""Pocket wifi"", ""Essentials"", ""Paid parking off premises"", ""Children\u2019s books and toys"", ""Dishes and silverware"", ""Hangers"", ""Dryer"", ""Long term stays allowed"", ""Heating"", ""Fire extinguisher""]",220.0
21238858,Entire home/apt,1,7.01,Allston,"[""Shampoo"", ""Carbon monoxide alarm"", ""Wifi"", ""Hot water"", ""Hair dryer"", ""Keypad"", ""Smoke alarm"", ""Free parking on premises"", ""Private entrance"", ""Coffee maker"", ""Hangers"", ""Extra pillows and blankets"", ""First aid kit"", ""TV"", ""Refrigerator"", ""Self check-in"", ""Heating"", ""Microwave"", ""Essentials"", ""Iron""]",109.0
21350397,Entire home/apt,3,705.01,South End,"[""Wifi"", ""Stove"", ""Kitchen"", ""Long term stays allowed"", ""Dishwasher"", ""First aid kit"", ""Refrigerator"", ""Toaster"", ""Wine glasses"", ""Iron"", ""Room-darkening shades"", ""Paid parking garage off premises"", ""Hair dryer"", ""Shower gel"", ""Dove body soap"", ""Free washer \u2013 In building"", ""Blender"", ""Cleaning products"", ""Freezer"", ""Extra pillows and blankets"", ""Luggage dropoff allowed"", ""Bathtub"", ""Hot water kettle"", ""Clothing storage: closet and dresser"", ""Coffee maker: Keurig coffee machine, pour-over coffee"", ""Bed linens"", ""Garden view"", ""Carbon monoxide alarm"", ""Oven"", ""Security cameras on property"", ""60\"" HDTV with Amazon Prime Video, Netflix, premium cable, standard cable"", ""Smoke alarm"", ""Cooking basics"", ""Dining table"", ""Indoor fireplace: electric"", ""Baking sheet"", ""Microwave"", ""Dedicated workspace"", ""Maxxam conditioner"", ""Maxxam shampoo"", ""Smart lock"", ""Coffee"", ""Ethernet connection"", ""Essentials"", ""Hot water"", ""Fireplace guards"", ""Central air conditioning"", ""Dishes and silverware"", ""Books and reading material"", ""Portable fans"", ""Hangers"", ""Self check-in"", ""Free dryer \u2013 In building"", ""Heating"", ""Fire extinguisher""]",317.0
21369962,Entire home/apt,29,701.02,Downtown,"[""Wifi"", ""Clothing storage: wardrobe and closet"", ""Stove"", ""Window guards"", ""Kitchen"", ""Dishwasher"", ""Breakfast"", ""Baby bath"", ""Ogx coconut  conditioner"", ""Sonos Bluetooth sound system"", ""First aid kit"", ""Refrigerator"", ""Toaster"", ""Wine glasses"", ""Crib - available upon request"", ""Iron"", ""Room-darkening shades"", ""Pack \u2019n play/Travel crib"", ""Children\u2019s dinnerware"", ""Ceiling fan"", ""Coffee maker"", ""Hair dryer"", ""Blender"", ""Elevator"", ""Patio or balcony"", ""Cleaning products"", ""Freezer"", ""Extra pillows and blankets"", ""Lockbox"", ""Luggage dropoff allowed"", ""TV"", ""Bathtub"", ""Washer \u2013\u00a0In building"", ""Air conditioning"", ""Hot water kettle"", ""Shampoo"", ""Bed linens"", ""Carbon monoxide alarm"", ""Oven"", ""Smoke alarm"", ""Cooking basics"", ""Mini fridge"", ""Dining table"", ""Baking sheet"", ""Microwave"", ""Dedicated workspace"", ""Board games"", ""Pocket wifi"", ""Coffee"", ""Ethernet connection"", ""Essentials"", ""Hot water"", ""Fireplace guards"", ""Children\u2019s books and toys"", ""Books and reading material"", ""Portable fans"", ""Indoor fireplace"", ""Dishes and silverware"", ""Hangers"", ""Self check-in"", ""Dove Moisture body soap"", ""Dryer"", ""Long term stays allowed"", ""Heating"", ""Fire extinguisher"", ""Booster seat high chair - available upon request""]",150.0
21444743,Entire home/apt,91,107.02,Back Bay,"[""Wifi"", ""Carbon monoxide alarm"", ""Washer"", ""Hot water"", ""Hair dryer"", ""Kitchen"", ""Smoke alarm"", ""Long term stays allowed"", ""Elevator"", ""Hangers"", ""TV"", ""Dryer"", ""Refrigerator"", ""Heating"", ""Air conditioning"", ""Essentials"", ""Iron""]",103.0
21445050,Entire home/apt,29,104.05,Fenway,"[""Wifi"", ""Kitchen"", ""Coffee maker"", ""Iron"", ""Washer"", ""Hair dryer"", ""Elevator"", ""Lockbox"", ""TV"", ""Air conditioning"", ""Carbon monoxide alarm"", ""Smoke alarm"", ""Essentials"", ""Hot water"", ""Dishes and silverware"", ""Hangers"", ""Self check-in"", ""Dryer"", ""Long term stays allowed"", ""Heating"", ""Microwave""]",103.0
21445137,Entire home/apt,29,202,Beacon Hill,"[""Shampoo"", ""Carbon monoxide alarm"", ""Wifi"", ""Washer"", ""Hot water"", ""Hair dryer"", ""Kitchen"", ""Smoke alarm"", ""Coffee maker"", ""Hangers"", ""Lockbox"", ""Self check-in"", ""TV"", ""Dryer"", ""Heating"", ""Air conditioning"", ""Fire extinguisher"", ""Essentials"", ""Iron""]",103.0
21445237,Entire home/apt,91,6.01,Brighton,"[""Wifi"", ""Carbon monoxide alarm"", ""Washer"", ""Hot water"", ""Hair dryer"", ""Kitchen"", ""Smoke alarm"", ""Hangers"", ""Lockbox"", ""Self check-in"", ""TV"", ""Dryer"", ""Long term stays allowed"", ""Heating"", ""Air conditioning"", ""Essentials"", ""Iron""]",84.0
21454153,Entire home/apt,91,608,South Boston,"[""Wifi"", ""Kitchen"", ""Free street parking"", ""First aid kit"", ""Refrigerator"", ""Iron"", ""Room-darkening shades"", ""Washer"", ""Hair dryer"", ""Luggage dropoff allowed"", ""TV"", ""Air conditioning"", ""Shampoo"", ""Carbon monoxide alarm"", ""Oven"", ""Smoke alarm"", ""Cooking basics"", ""Smart lock"", ""Essentials"", ""Hot water"", ""Hangers"", ""Self check-in"", ""Dryer"", ""Long term stays allowed"", ""Heating"", ""Fire extinguisher""]",125.0
21484706,Private room,91,1005,Dorchester,"[""Wifi"", ""Keypad"", ""Kitchen"", ""Free street parking"", ""Lock on bedroom door"", ""Refrigerator"", ""Hot tub"", ""Coffee maker"", ""Iron"", ""TV with standard cable"", ""Washer"", ""Air conditioning"", ""Shampoo"", ""Carbon monoxide alarm"", ""Smoke alarm"", ""Free parking on premises"", ""Essentials"", ""Hot water"", ""Dishes and silverware"", ""Fire extinguisher"", ""Hangers"", ""Self check-in"", ""Dryer"", ""Heating"", ""Microwave""]",48.0
