id,room_type,minimum_nights,census_tract,census_NBH,amenities,price
5054601,Private room,5,612.01,South Boston,"[""Shampoo"", ""Carbon monoxide alarm"", ""Wifi"", ""Hair dryer"", ""Kitchen"", ""Dedicated workspace"", ""Private living room"", ""Dryer"", ""Heating"", ""Air conditioning"", ""Essentials"", ""Iron""]",71.0
5088560,Entire home/apt,29,708.01,Roxbury,"[""Wifi"", ""AC - split type ductless system"", ""City skyline view"", ""Kitchen"", ""Dishwasher"", ""First aid kit"", ""Outdoor dining area"", ""Refrigerator"", ""Paid parking on premises"", ""Iron"", ""Coffee maker"", ""Outdoor furniture"", ""Hair dryer"", ""Shower gel"", ""EV charger"", ""BBQ grill"", ""Free washer \u2013 In unit"", ""Cleaning available during stay"", ""Extra pillows and blankets"", ""Lockbox"", ""Luggage dropoff allowed"", ""Free dryer \u2013 In unit"", ""Frigidaire gas stove"", ""Shampoo"", ""Bed linens"", ""Carbon monoxide alarm"", ""Oven"", ""Security cameras on property"", ""Smoke alarm"", ""Cooking basics"", ""Baking sheet"", ""Microwave"", ""Dedicated workspace"", ""Private patio or balcony"", ""Essentials"", ""50\"" HDTV with standard cable"", ""Hot water"", ""Central air conditioning"", ""Dishes and silverware"", ""Hangers"", ""Self check-in"", ""Long term stays allowed"", ""Heating"", ""Fire extinguisher""]",400.0
5166870,Entire home/apt,2,1202.01,Jamaica Plain,"[""Wifi"", ""AC - split type ductless system"", ""Stove"", ""Keypad"", ""Kitchen"", ""Dishwasher"", ""Baby bath"", ""Park view"", ""32\"" HDTV with Amazon Prime Video, Netflix, Roku"", ""Refrigerator"", ""Valley view"", ""Ceiling fan"", ""Iron"", ""Room-darkening shades"", ""Pack \u2019n play/Travel crib"", ""High chair"", ""Coffee maker"", ""Outdoor furniture"", ""Hair dryer"", ""Free washer \u2013 In unit"", ""Cleaning products"", ""Luggage dropoff allowed"", ""Bathtub"", ""Free dryer \u2013 In unit"", ""Conditioner"", ""Shampoo"", ""Bed linens"", ""Carbon monoxide alarm"", ""Backyard"", ""Oven"", ""Smoke alarm"", ""Cooking basics"", ""Free parking on premises"", ""Microwave"", ""Dedicated workspace"", ""Essentials"", ""Hot water"", ""Children\u2019s books and toys"", ""Books and reading material"", ""Portable fans"", ""Dishes and silverware"", ""Hangers"", ""Self check-in"", ""Heating"", ""Fire extinguisher""]",176.0
5203538,Entire home/apt,5,705.02,South End,"[""Wifi"", ""Private sauna"", ""City skyline view"", ""Kitchen"", ""Thermador stove"", ""Dishwasher"", ""Long term stays allowed"", ""Free street parking"", ""Barbecue utensils"", ""First aid kit"", ""Outdoor dining area"", ""Refrigerator"", ""Toaster"", ""Wine glasses"", ""Iron"", ""Outdoor furniture"", ""TV with standard cable"", ""Sonos sound system"", ""Coffee maker: drip coffee maker"", ""Hair dryer"", ""Shower gel"", ""Free washer \u2013 In building"", ""Blender"", ""Cleaning products"", ""Body soap"", ""Freezer"", ""Extra pillows and blankets"", ""Hot water kettle"", ""Conditioner"", ""Shampoo"", ""Bed linens"", ""Carbon monoxide alarm"", ""Smoke alarm"", ""Cooking basics"", ""Dining table"", ""Private entrance"", ""Baking sheet"", ""Dedicated workspace"", ""Private patio or balcony"", ""Coffee"", ""Ethernet connection"", ""Essentials"", ""Hot water"", ""Clothing storage: dresser and wardrobe"", ""Central air conditioning"", ""Dishes and silverware"", ""Books and reading material"", ""Fire pit"", ""Indoor fireplace"", ""BBQ grill: gas"", ""Thermador oven"", ""Hangers"", ""Free dryer \u2013 In building"", ""Heating"", ""Microwave""]",900.0
5317935,Entire home/apt,29,815,Roxbury,"[""Wifi"", ""Kitchen"", ""Free street parking"", ""Refrigerator"", ""Iron"", ""Pack \u2019n play/Travel crib"", ""TV with standard cable"", ""High chair"", ""Washer"", ""Coffee maker"", ""Hair dryer"", ""Lockbox"", ""Air conditioning"", ""Shampoo"", ""Carbon monoxide alarm"", ""Backyard"", ""Smoke alarm"", ""Cooking basics"", ""Free parking on premises"", ""Microwave"", ""Essentials"", ""Hot water"", ""Children\u2019s books and toys"", ""Dishes and silverware"", ""Indoor fireplace"", ""Hangers"", ""Self check-in"", ""Dryer"", ""Heating"", ""Fire extinguisher""]",400.0
5358934,Private room,150,818,Roxbury,"[""Wifi"", ""Carbon monoxide alarm"", ""Backyard"", ""Hot water"", ""Stove"", ""Oven"", ""Dishes and silverware"", ""Kitchen"", ""Smoke alarm"", ""Cooking basics"", ""Free parking on premises"", ""Lock on bedroom door"", ""Hangers"", ""Refrigerator"", ""Heating"", ""Air conditioning"", ""Microwave""]",42.0
5364137,Entire home/apt,60,511.01,East Boston,"[""Wifi"", ""Keypad"", ""Kitchen"", ""Window AC unit"", ""Paid dryer \u2013 In building"", ""First aid kit"", ""Refrigerator"", ""Pets allowed"", ""Wine glasses"", ""Ceiling fan"", ""Iron"", ""Coffee maker"", ""Hair dryer"", ""Extra pillows and blankets"", ""Bathtub"", ""Paid washer \u2013 In building"", ""Shampoo"", ""Bed linens"", ""Carbon monoxide alarm"", ""Oven"", ""Smoke alarm"", ""Cooking basics"", ""Dining table"", ""Free parking on premises"", ""Private entrance"", ""Baking sheet"", ""Microwave"", ""Dedicated workspace"", ""GE electric stove"", ""Essentials"", ""Hot water"", ""19\"" HDTV with Amazon Prime Video, Hulu, Netflix"", ""Dishes and silverware"", ""Hangers"", ""Clothing storage: closet"", ""Self check-in"", ""Long term stays allowed"", ""Heating"", ""Fire extinguisher""]",48.0
5371051,Entire home/apt,29,915,Dorchester,"[""Wifi"", ""Keypad"", ""Dishwasher"", ""Free street parking"", ""Refrigerator"", ""Iron"", ""Coffee maker"", ""TV with standard cable"", ""Hair dryer"", ""Shower gel"", ""Air conditioning"", ""Shampoo"", ""Bed linens"", ""Carbon monoxide alarm"", ""Security cameras on property"", ""Smoke alarm"", ""Cooking basics"", ""Free parking on premises"", ""Private entrance"", ""Private patio or balcony"", ""Ethernet connection"", ""Essentials"", ""Hot water"", ""Dishes and silverware"", ""Fire extinguisher"", ""Hangers"", ""Self check-in"", ""Long term stays allowed"", ""Heating"", ""Microwave""]",95.0
5434353,Entire home/apt,14,1106.07,Roslindale,"[""Wifi"", ""Stove"", ""Kitchen"", ""Dishwasher"", ""Free street parking"", ""First aid kit"", ""Refrigerator"", ""Pets allowed"", ""Iron"", ""Coffee maker"", ""Washer"", ""Hair dryer"", ""Shampoo"", ""Carbon monoxide alarm"", ""Backyard"", ""Oven"", ""Smoke alarm"", ""Cooking basics"", ""Free parking on premises"", ""Private entrance"", ""Essentials"", ""Dishes and silverware"", ""Fire extinguisher"", ""Hangers"", ""Dryer"", ""Heating"", ""Microwave""]",155.0
5478135,Entire home/apt,91,511.01,East Boston,"[""Shampoo"", ""TV with standard cable"", ""Carbon monoxide alarm"", ""Washer"", ""Wifi"", ""Hair dryer"", ""Kitchen"", ""Smoke alarm"", ""Free parking on premises"", ""Hangers"", ""First aid kit"", ""Dryer"", ""Heating"", ""Air conditioning"", ""Fire extinguisher"", ""Essentials"", ""Iron""]",195.0
